"Timestamp","Which is the age range that you fit in?","What is your gender?","What is the highest level of education you're currently enrolled in/already completed?","Which Faculty are/were you apart of?","Which religion do you follow?","Have you experimented with ChatGPT yet?","Do you think that using ChatGPT on academic subjects is plagiarism? ","Do you think that the use of AI tools such as ChatGPT would inhibit education?","Do you think that ChatGPT should be integrated into search engines?","Should Universities and Colleges prohibit the use of AI tools for academic work?","Any Further Comments?",""
"2023/02/18 9:33:57 AM EST","17-20","Male","College Diploma/Bachelors Degree","Computer Science","Atheism","Yes","Yes","No","Yes","Sort of, limit the usage to a degree","I believe the current best use for AI like ChatGPT in an academic context is to create ideas or reword hard to understand topics. It can help get past a writers block and explain topics in an easier way. Because the work would not be your own I think it would be plagiarism to submit an AI’s words.","Yes"
"2023/02/18 9:34:46 AM EST","17-20","Other","College Diploma/Bachelors Degree","arts","Atheism","No, don't plan on doing so","Yes","No","No","Yes, completely disallow the use of them","","Yes"
"2023/02/18 10:24:22 AM EST","17-20","Male","College Diploma/Bachelors Degree","Science","Agnostic","Yes","Yes","No","Yes","Sort of, limit the usage to a degree","",""
"2023/02/18 11:53:16 AM EST","21-24","Female","College Diploma/Bachelors Degree","Faculty of arts and science","Christianity","Yes","Yes","I do not know/can not decide","I do not know/can not decide","Sort of, limit the usage to a degree","",""
"2023/02/18 12:34:54 PM EST","34+","Other","College Diploma/Bachelors Degree","Women and gender studies ","Islam","No, don't plan on doing so","I don't know/can not decide","No","Yes","Sort of, limit the usage to a degree","N/A",""
"2023/02/18 12:58:20 PM EST","17-20","Male","College Diploma/Bachelors Degree","Science","Christianity","No, don't plan on doing so","Yes","Yes","I do not know/can not decide","Sort of, limit the usage to a degree","",""
"2023/02/18 1:06:27 PM EST","17-20","Male","College Diploma/Bachelors Degree","Architecture ","Christianity","No, don't plan on doing so","I don't know/can not decide","Yes","I do not know/can not decide","Sort of, limit the usage to a degree","",""
"2023/02/18 1:11:02 PM EST","17-20","Male","College Diploma/Bachelors Degree","Engineering","Christianity","Not yet, but plan on doing so","No","Yes","No","Yes, completely disallow the use of them","",""
"2023/02/18 1:11:06 PM EST","17-20","Male","College Diploma/Bachelors Degree","Computer Science ","Atheism","Yes","No","Yes","Yes","Sort of, limit the usage to a degree","The way I personally see ChatGPT, or open AI as a whole is an advanced search query, which I believe its use would be similar to a calculator. An example of the similarity would be that a calculator is not a truly necessary tool, but exists to save time and effort. but there is no denying that ChatGPT can be used with malicious intent, in classes that require an extended opinionated written portion to be completed. 

I would say you should not use chatGPT as a citation, as the website gives you a formatted, organized collection of information that it gathered from other sources, instead of using data that it researched itself. 
in other words, ChatGPT gathers information and is not a source itself. ",""
"2023/02/18 1:53:48 PM EST","17-20","Male","College Diploma/Bachelors Degree","Computer Science ","Christianity","Yes","No","Yes","Yes","Sort of, limit the usage to a degree","",""
"2023/02/18 1:55:20 PM EST","17-20","Female","College Diploma/Bachelors Degree","Graphic Design","Agnostic","No, don't plan on doing so","Yes","Yes","Yes","Sort of, limit the usage to a degree","",""
"2023/02/18 1:57:07 PM EST","17-20","Male","College Diploma/Bachelors Degree","Computer Science","Islam","Not yet, but plan on doing so","No","No","Yes","Sort of, limit the usage to a degree","",""
"2023/02/18 1:59:55 PM EST","17-20","Male","College Diploma/Bachelors Degree","Comp sci ","Agnostic","Yes","Yes","No","Yes","Sort of, limit the usage to a degree","",""
"2023/02/18 2:00:16 PM EST","17-20","Male","College Diploma/Bachelors Degree","Science ","Other","No, don't plan on doing so","I don't know/can not decide","Yes","Yes","Sort of, limit the usage to a degree","",""
"2023/02/18 2:03:30 PM EST","17-20","Female","College Diploma/Bachelors Degree","Science ","Christianity","Not yet, but plan on doing so","I don't know/can not decide","No","I do not know/can not decide","Sort of, limit the usage to a degree","",""
"2023/02/18 2:06:20 PM EST","17-20","Male","College Diploma/Bachelors Degree","Health science ","Islam","Yes","I don't know/can not decide","Yes","No","Sort of, limit the usage to a degree","",""
"2023/02/18 2:06:45 PM EST","17-20","Male","College Diploma/Bachelors Degree","Computer Science","Islam","Yes","Yes","Yes","Yes","Yes, completely disallow the use of them","",""
"2023/02/18 2:11:26 PM EST","17-20","Male","College Diploma/Bachelors Degree","University of Toronto","Atheism","Yes","Yes","No","No","Sort of, limit the usage to a degree","",""
"2023/02/18 2:15:52 PM EST","17-20","Male","College Diploma/Bachelors Degree","Science","Atheism","Yes","Yes","Yes","Yes","Sort of, limit the usage to a degree","",""
"2023/02/18 2:16:01 PM EST","17-20","Male","College Diploma/Bachelors Degree","Science","Islam","Yes","No","No","Yes","Sort of, limit the usage to a degree","",""
"2023/02/18 2:19:59 PM EST","17-20","Male","College Diploma/Bachelors Degree","Science","Islam","Yes","Yes","No","I do not know/can not decide","Sort of, limit the usage to a degree","",""
"2023/02/18 2:22:10 PM EST","21-24","Male","College Diploma/Bachelors Degree","Computer Science","Other","Yes","No","No","I do not know/can not decide","No, it would be unjust","",""
"2023/02/18 2:22:13 PM EST","17-20","Female","College Diploma/Bachelors Degree","Computer Science","Hinduism","Yes","No","No","Yes","Sort of, limit the usage to a degree","",""
"2023/02/18 2:22:41 PM EST","21-24","Male","College Diploma/Bachelors Degree","Science","Islam","Yes","Yes","Yes","Yes","Sort of, limit the usage to a degree","AI tools shouldn’t be limited but embraced. Do not restrict access but adapt towards what’s available. We’ll evolve into something better when utilizing that approach.",""
"2023/02/18 2:40:37 PM EST","17-20","Male","College Diploma/Bachelors Degree","Faculty of Science ","Hinduism","Yes","I don't know/can not decide","No","Yes","Sort of, limit the usage to a degree","",""
"2023/02/18 3:04:14 PM EST","17-20","Female","College Diploma/Bachelors Degree","Arts and Science ","Islam","Yes","Yes","No","Yes","Sort of, limit the usage to a degree","",""
"2023/02/18 3:06:19 PM EST","17-20","Male","College Diploma/Bachelors Degree","Faculty of science ","Other","No, don't plan on doing so","I don't know/can not decide","No","No","Sort of, limit the usage to a degree","",""
"2023/02/18 3:10:05 PM EST","17-20","Male","College Diploma/Bachelors Degree","Faculty of business and IT","Atheism","Yes","Yes","Yes","I do not know/can not decide","Sort of, limit the usage to a degree","For the second to last question. in my opinion ChatGPT should be used in search engines, but only when it eventually gets better at finding credible sources for academic use. In no way do I think ChatGPT should make up sources, or generate information itself. ",""
